school	sex	age	address	famsize	Pstatus	Medu	Fedu	reason	guardian	traveltime	studytime	failures	paid	activities	famrel	freetime	absences
GP	F	18	U	GT3	A	4	4	course	mother	2	2	0	no	no	4	3	6
GP	F	17	U	GT3	T	1	1	course	father	1	2	0	no	no	5	3	4
GP	F	15	U	LE3	T	1	1	other	mother	1	2	3	yes	no	4	3	10
GP	F	15	U	GT3	T	4	2	home	mother	1	3	0	yes	yes	3	2	2
GP	F	16	U	GT3	T	3	3	home	father	1	2	0	yes	no	4	3	4
GP	M	16	U	LE3	T	4	3	reputation	mother	1	2	0	yes	yes	5	4	10
GP	M	16	U	LE3	T	2	2	home	mother	1	2	0	no	no	4	4	0
GP	F	17	U	GT3	A	4	4	home	mother	2	2	0	no	no	4	1	6
GP	M	15	U	LE3	A	3	2	home	mother	1	2	0	yes	no	4	2	0
GP	M	15	U	GT3	T	3	4	home	mother	1	2	0	yes	yes	5	5	0
GP	F	15	U	GT3	T	4	4	reputation	mother	1	2	0	yes	no	3	3	0
GP	F	15	U	GT3	T	2	1	reputation	father	3	3	0	no	yes	5	2	4
GP	M	15	U	LE3	T	4	4	course	father	1	1	0	yes	yes	4	3	2
GP	M	15	U	GT3	T	4	3	course	mother	2	2	0	yes	no	5	4	2
GP	M	15	U	GT3	A	2	2	home	other	1	3	0	no	no	4	5	0
GP	F	16	U	GT3	T	4	4	home	mother	1	1	0	no	no	4	4	4
GP	F	16	U	GT3	T	4	4	reputation	mother	1	3	0	yes	yes	3	2	6
GP	F	16	U	GT3	T	3	3	reputation	mother	3	2	0	no	yes	5	3	4
GP	M	17	U	GT3	T	3	2	course	mother	1	1	3	no	yes	5	5	16
GP	M	16	U	LE3	T	4	3	home	father	1	1	0	yes	yes	3	1	4
GP	M	15	U	GT3	T	4	3	reputation	mother	1	2	0	no	no	4	4	0
GP	M	15	U	GT3	T	4	4	other	father	1	1	0	yes	no	5	4	0
GP	M	16	U	LE3	T	4	2	course	mother	1	2	0	no	yes	4	5	2
GP	M	16	U	LE3	T	2	2	reputation	mother	2	2	0	no	yes	5	4	0
GP	F	15	R	GT3	T	2	4	course	mother	1	3	0	yes	yes	4	3	2
GP	F	16	U	GT3	T	2	2	home	mother	1	1	2	yes	no	1	2	14
GP	M	15	U	GT3	T	2	2	home	mother	1	1	0	yes	no	4	2	2
GP	M	15	U	GT3	T	4	2	other	mother	1	1	0	yes	no	2	2	4
GP	M	16	U	LE3	A	3	4	home	mother	1	2	0	no	yes	5	3	4
GP	M	16	U	GT3	T	4	4	home	mother	1	2	0	yes	yes	4	4	16
GP	M	15	U	GT3	T	4	4	home	mother	1	2	0	yes	no	5	4	0
